what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359602060634
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359602065060
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1359602068656
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1359602098043
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359602103422
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359602124282
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359602125024
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359602129321
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1359602133041
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1359602152520
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1359602152532
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1359602153207
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359602171718
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359602173552
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359602174399
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359602178276
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1359602181335
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1359602209794
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359602211029
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359602214573
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1359602217719
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359602219644
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359602220951
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1359602248183
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359602251125
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359602257509
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1359602277342
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1359602286922
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1359602302023
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359602303672
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359602319587
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359602321082
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359602326124
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1359602328566
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1359602357958
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359602359634
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359602496623
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359602498297
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359602502342
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1359602510005
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1359602537562
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359602537915
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359602688034
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359602689871
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359602694480
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1359602697409
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1359602723432
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359602724078
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359602724655
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1359602729932
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359602733795
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359602937112
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359602939366
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359602942816
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1359602945673
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359602946271
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359603001014
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1359603035458
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359603036881
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359603041694
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1359603044629
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1359603070478
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359603071601
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359603072652
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359603073140
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359603158730
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359603159746
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359603163314
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1359603167362
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1359603191827
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359603192438
